City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,nampa,43.5407,-116.5635,51.01,40,1,5.75,US,1615662880
330,pacifica,37.6138,-122.4869,53.01,76,90,11.5,US,1615662865
331,berlin,52.5244,13.4105,42.01,93,0,12.66,DE,1615662880
332,pahrump,36.2083,-115.9839,54.0,24,90,11.99,US,1615662880
333,fairhope,30.523,-87.9033,78.01,64,1,3.44,US,1615662881
334,dunkirk,51.05,2.3667,45.0,85,81,3.0,FR,1615662881
335,hopkinsville,36.8656,-87.4886,53.01,68,100,3.0,US,1615662836
336,palm springs,33.8303,-116.5453,66.2,27,1,10.36,US,1615662882
337,greenwood,34.1668,-82.1165,75.99,53,90,6.91,US,1615662882
338,hartford,41.7668,-72.7662,44.6,19,1,14.97,US,1615662882
339,cody,44.5263,-109.0565,46.4,19,1,8.05,US,1615662629
340,batesville,35.7698,-91.641,53.01,100,90,3.44,US,1615662651
341,senneterre,48.3835,-77.2328,17.6,73,90,13.8,CA,1615662883
342,bemidji,47.4736,-94.8803,53.01,43,1,10.36,US,1615662883
343,brooks,50.5834,-111.8851,50.0,40,11,5.75,CA,1615662884
344,brigham city,41.5102,-112.0155,48.2,31,40,4.81,US,1615662884
345,la paz,-16.5,-68.15,55.4,44,40,4.61,BO,1615662788
346,cosala,24.4125,-106.6908,79.0,46,49,5.99,MX,1615662884
347,adolfo lopez mateos,28.4667,-107.3,62.74,6,0,40.42,MX,1615662885
348,fairmont,39.4851,-80.1426,52.0,31,100,5.23,US,1615662885
349,abbeville,50.1,1.8333,43.0,82,100,16.91,FR,1615662885
350,santa rosalia,27.3167,-112.2833,60.37,35,0,10.56,MX,1615662886
351,bristol,41.8334,-71.1662,48.0,19,1,8.05,US,1615662664
352,valle de allende,26.9333,-105.4,83.3,9,89,29.28,MX,1615662886
353,hailey,43.5196,-114.3153,39.2,33,1,8.05,US,1615662886
354,kindersley,51.4668,-109.1682,35.6,80,40,6.91,CA,1615662887
355,harrisburg,40.2737,-76.8844,53.01,18,20,6.91,US,1615662887
356,marquette,46.5333,-87.6335,52.0,35,1,20.71,US,1615662788
357,pemberton,50.3164,-122.8027,42.8,70,40,4.81,CA,1615662887
358,lloydminster,53.2835,-110.0016,39.2,60,20,8.05,CA,1615662888
359,port angeles,48.1181,-123.4307,46.4,81,40,3.44,US,1615662888
360,hayden,47.766,-116.7866,51.01,46,1,8.05,US,1615662888
361,pendleton,45.6721,-118.7886,54.0,43,1,6.91,US,1615662889
362,del rio,29.3627,-100.8968,80.6,57,90,23.02,US,1615662783
363,les escoumins,48.1111,-69.0236,24.8,58,80,17.27,CA,1615662889
364,winchester,51.0651,-1.3187,42.01,75,75,10.36,GB,1615662889
365,guaymas,27.9333,-110.9,66.99,37,1,9.22,MX,1615662638
366,belle fourche,44.6714,-103.8522,53.01,40,20,18.41,US,1615662890
367,north ogden,41.3072,-111.9602,46.4,49,90,6.91,US,1615662890
368,ukiah,39.1502,-123.2078,55.4,54,1,3.44,US,1615662726
369,prince george,53.9166,-122.753,46.99,56,1,13.8,CA,1615662614
